year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,release_date,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Director_nominated,Oscar_Best_Actor_won,Oscar_Best_Actor_nominated,Oscar_Best_Actress_won,Oscar_Best_Actress_nominated,Oscar_Best_Supporting_Actor_won,Oscar_Best_Supporting_Actor_nominated,Oscar_Best_Supporting_Actress_won,Oscar_Best_Supporting_Actress_nominated,Oscar_Best_AdaScreen_won,Oscar_Best_AdaScreen_nominated,Oscar_Best_OriScreen_won,Oscar_Best_OriScreen_nominated,Oscar_nominated,Oscar_nominated_categories,Golden_Globes_won,Golden_Globes_won_categories,Golden_Globes_nominated,Golden_Globes_nominated_categories,BAFTA_won,BAFTA_won_categories,BAFTA_nominated,BAFTA_nominated_categories,Screen_Actors_Guild_won,Screen_Actors_Guild_won_categories,Screen_Actors_Guild_nominated,Screen_Actors_Guild_nominated_categories,Critics_Choice_won,Critics_Choice_won_categories,Critics_Choice_nominated,Critics_Choice_nominated_categories,Directors_Guild_won,Directors_Guild_won_categories,Directors_Guild_nominated,Directors_Guild_nominated_categories,Producers_Guild_won,Producers_Guild_won_categories,Producers_Guild_nominated,Producers_Guild_nominated_categories,Art_Directors_Guild_won,Art_Directors_Guild_won_categories,Art_Directors_Guild_nominated,Art_Directors_Guild_nominated_categories,Writers_Guild_won,Writers_Guild_won_categories,Writers_Guild_nominated,Writers_Guild_nominated_categories,Costume_Designers_Guild_won,Costume_Designers_Guild_won_categories,Costume_Designers_Guild_nominated,Costume_Designers_Guild_nominated_categories,Online_Film_Television_Association_won,Online_Film_Television_Association_won_categories,Online_Film_Television_Association_nominated,Online_Film_Television_Association_nominated_categories,Online_Film_Critics_Society_won,Online_Film_Critics_Society_won_categories,Online_Film_Critics_Society_nominated,Online_Film_Critics_Society_nominated_categories,People_Choice_won,People_Choice_won_categories,People_Choice_nominated,People_Choice_nominated_categories,London_Critics_Circle_Film_won,London_Critics_Circle_Film_won_categories,London_Critics_Circle_Film_nominated,London_Critics_Circle_Film_nominated_categories,American_Cinema_Editors_won,American_Cinema_Editors_won_categories,American_Cinema_Editors_nominated,American_Cinema_Editors_nominated_categories,Hollywood_Film_won,Hollywood_Film_won_categories,Hollywood_Film_nominated,Hollywood_Film_nominated_categories,Austin_Film_Critics_Association_won,Austin_Film_Critics_Association_won_categories,Austin_Film_Critics_Association_nominated,Austin_Film_Critics_Association_nominated_categories,Denver_Film_Critics_Society_won,Denver_Film_Critics_Society_won_categories,Denver_Film_Critics_Society_nominated,Denver_Film_Critics_Society_nominated_categories,Boston_Society_of_Film_Critics_won,Boston_Society_of_Film_Critics_won_categories,Boston_Society_of_Film_Critics_nominated,Boston_Society_of_Film_Critics_nominated_categories,New_York_Film_Critics_Circle_won,New_York_Film_Critics_Circle_won_categories,New_York_Film_Critics_Circle_nominated,New_York_Film_Critics_Circle_nominated_categories,Los_Angeles_Film_Critics_Association_won,Los_Angeles_Film_Critics_Association_won_categories,Los_Angeles_Film_Critics_Association_nominated,Los_Angeles_Film_Critics_Association_nominated_categories,release_date.year,release_date.month,release_date.day-of-month,release_date.day-of-week
2002,Star Wars: Episode II - Attack of the Clones,tt0121765,PG,142,Action|Adventure|Fantasy,6.69999981,54,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé, while Obi-Wan investigates an assassination attempt on the Senator and discovers a secret clone army crafted for the Jedi.",485730,310680000,2002-05-16,3531,291,544,0,6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Visual Effects,0,,0,,0,,0,,0,,0,,0,,1,Best Digital Acting Performance,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,Best Sound Mixing|Best Sound Effects Editing|Best Visual Effects,0,,2,Best Visual Effects|Best Sound,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,5,16,4
2005,Star Wars: Episode III - Revenge of the Sith,tt0121766,PG-13,140,Action|Adventure|Fantasy,7.5999999,68,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",543318,380260000,2005-05-19,3303,356,387,2,7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Achievement in Makeup,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Fantasy Film,0,,4,Best Makeup and Hairstyling|Best Sound Effects Editing|Best Visual Effects|Best Official Film Website,0,,0,,2,Favorite Movie|Favorite Movie Drama,2,Favorite Movie|Favorite Movie Drama,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2005,5,19,4
2001,Shrek,tt0126029,PG,90,Animation|Adventure|Comedy,7.9000001,84,"After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back.",483447,267650000,2001-05-18,950,212,1064,9,22,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,Best Animated Feature|Best Adapted Screenplay,0,,1,Best Motion Picture - Comedy or Musical,2,Best Screenplay - Adapted|Best Feature Film,7,Best Screenplay - Adapted|Best Film||Best Performance by an Actor in a Supporting Role|Best Sound|Best Achievement in Special Visual Effects|Best Feature Film,0,,0,,1,Best Animated Film,2,Best Animated Film|Best Picture,0,,0,,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,0,,0,,0,,0,,0,,2,Best Animated Picture|Best Voice-Over Performance,4,Best Animated Picture|Best Voice-Over Performance|Best Voice-Over Performance|Best Titles Sequence,2,Best Animated Feature|Top Ten Films of the Year,3,Best Animated Feature|Top Ten Films of the Year|Best Overall DVD,1,Favorite Motion Picture,1,Favorite Motion Picture,0,,0,,0,,1,Best Edited Feature Film - Comedy or Musical,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Film,1,Best Animation,1,Best Animation,2001,5,18,5
2001,Planet of the Apes,tt0133152,PG-13,119,Action|Adventure|Sci-Fi,5.69999981,50,"An Air Force astronaut crash lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",181213,180010000,2001-07-27,1369,230,1144,0,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,2,Best Costume Design|Best Make Up/Hair,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Period/Fantasy Film,0,,2,Best Costume Design|Best Makeup and Hairstyling,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2001,7,27,5
2002,Treasure Planet,tt0133240,PG,95,Animation|Adventure|Family,7.0999999,60,"A Disney animated version of ""Treasure Island"". The only difference is that the film is set in outer space with alien worlds and other galactic wonders.",74746,38120000,2002-11-27,219,127,2568,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Best Animated Feature,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Animated Picture,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,11,27,3
2000,Pitch Black,tt0134847,R,109,Horror|Sci-Fi,7.0999999,49,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",197982,39240000,2000-02-18,808,211,1353,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,2,18,5
2001,Training Day,tt0139654,R,122,Crime|Drama|Thriller,7.69999981,69,"On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes on a 24-hour training course with a rogue detective who isn't what he appears.",316040,76260000,2001-10-05,638,109,930,2,7,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,2,Best Performance by an Actor in a Leading Role|Best Performance by an Actor in a Supporting Role,0,,1,Best Performance by an Actor in a Motion Picture - Drama,0,,0,,0,,2,Outstanding Performance by a Male Actor in a Leading Role|Outstanding Performance by a Male Actor in a Supporting Role,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Actor,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Actor,1,Best Actor,0,,1,Best Actor,1,Best Actor,1,Best Actor,2001,10,5,5
2000,U-571,tt0141926,PG-13,116,Action|War,6.5999999,62,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,66965,77090000,2000-04-21,608,178,3236,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,Best Sound Editing|Best Sound,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,4,21,5
2000,American Psycho,tt0144084,R,102,Crime|Drama,7.5999999,64,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",371133,15050000,2000-04-14,1071,284,515,0,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Actor,0,,0,,0,,2,Director of the Year|British Actor of the Year,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,4,14,5
2002,Spider-Man,tt0145487,PG-13,121,Action|Adventure,7.30000019,73,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",561251,403710000,2002-05-03,2017,291,437,1,6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,Best Sound|Best Visual Effects,0,,0,,0,,1,Best Achievement in Special Visual Effects,0,,0,,0,,1,Best Song,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,Best Sound Effects Editing|Best Visual Effects,0,,1,Best Visual Effects,1,Favorite Motion Picture,1,Favorite Motion Picture,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2002,5,3,5
2001,Lara Croft: Tomb Raider,tt0146316,PG-13,100,Action|Adventure|Fantasy,5.69999981,33,Video game adventuress Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,161278,131140000,2001-06-15,827,198,2068,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2001,6,15,5
2000,High Fidelity,tt0146882,R,113,Comedy|Drama|Music,7.5,79,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",146486,27280000,2000-03-31,604,175,2450,0,7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,1,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,,1,Best Screenplay - Adapted,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Screenplay Based on Material Previously Produced or Published,0,,1,Excellence in Contemporary Film,0,,1,"Best Music, Adapted Song",0,,1,Best Supporting Actor,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Best Supporting Actor,0,,0,,0,,0,,2000,3,31,5
2000,The Flintstones in Viva Rock Vegas,tt0158622,PG,90,Comedy|Family|Romance,3.5999999,27,"In this live-action prequel to the 1994 comedy hit, the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma is pursued by playboy Chip Rockefeller.",16035,35230000,2000-04-28,86,57,2495,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,4,28,5
2003,Cold Mountain,tt0159365,R,154,Adventure|Drama|History,7.19999981,73,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",120878,95630000,2003-12-25,678,196,779,5,35,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,7,"Best Performance by an Actress in a Supporting Role|Best Performance by an Actor in a Leading Role|Best Cinematography|Best Film Editing|Best Music, Original Score|Best Music, Original Song|Best Music, Original Song",1,Best Performance by an Actress in a Supporting Role in a Motion Picture,8,Best Performance by an Actress in a Supporting Role in a Motion Picture|Best Motion Picture - Drama|Best Performance by an Actor in a Motion Picture - Drama|Best Performance by an Actress in a Motion Picture - Drama|Best Director - Motion Picture|Best Screenplay - Motion Picture|Best Original Score - Motion Picture|Best Original Song - Motion Picture,2,|Best Performance by an Actress in a Supporting Role,13,|Best Performance by an Actress in a Supporting Role||Best Film|Best Screenplay - Adapted|Best Performance by an Actor in a Leading Role|Best Cinematography|Best Editing|Best Production Design|Best Costume Design|Best Sound|Best Make Up/Hair|,1,Outstanding Performance by a Female Actor in a Supporting Role,1,Outstanding Performance by a Female Actor in a Supporting Role,1,Best Supporting Actress,4,Best Supporting Actress|Best Picture|Best Actress|Best Composer,0,,0,,0,,1,Outstanding Producer of Theatrical Motion Pictures,0,,0,,0,,1,Best Adapted Screenplay,0,,0,,0,,1,Best Supporting Actress,0,,1,Best Supporting Actress,0,,0,,0,,4,Actress of the Year|British Actor of the Year|British Supporting Actor of the Year|British Director of the Year,0,,1,Best Edited Feature Film - Dramatic,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2003,12,25,4
2000,Charlie's Angels,tt0160127,PG-13,98,Action|Adventure|Comedy,5.5,52,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",148354,125310000,2000-11-03,643,179,2293,0,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,Excellence in Contemporary Film,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2000,11,3,5
